Cancion,Artista,Antiguedad_Dias,Spotify_Pop,LastFM_Oyentes,YouTube_Views
Gata Only,FloyyMenor & Cris Mj,729,84,5644,856749088
Si Antes Te Hubiera Conocido,KAROL G,491,83,467665,1189990079
Peligrosa,FloyyMenor ,539,78,0,188882241
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,656,74,17,57799366
Tengo un Plan(Remix),Key-Key & Ozuna,596,71,0,167849469
Buscando Money,TWENTY SIX & Tayson Kryss,741,66,319,7946049
BADGYAL,Saiko & JC Reyes & Dei V,645,70,1,41578511
HAY LUPITA,Lomiiel,666,71,134590,70244249
ESTE,El Alfa & Nfasis,574,69,572,148187378
Mírame-Remix,Nio García & Rauw Alejandro & Lenny Tavarez,590,64,0,477687754
