Cancion,Artista,Fecha_TikTok,Popularidad_Spotify,Antiguedad_Dias_Trend
Gata Only,FloyyMenor & Cris Mj,2024-02-02,84,729
Si Antes Te Hubiera Conocido,KAROL G,2024-09-27,83,491
Peligrosa,FloyyMenor ,2024-08-10,78,539
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2024-04-15,74,656
Tengo un Plan(Remix),Key-Key & Ozuna,2024-06-14,71,596
Buscando Money,TWENTY SIX & Tayson Kryss,2024-01-21,66,741
BADGYAL,Saiko & JC Reyes & Dei V,2024-04-26,70,645
HAY LUPITA,Lomiiel,2024-04-05,71,666
ESTE,El Alfa & Nfasis,2024-07-06,69,574
Mírame-Remix,Nio García & Rauw Alejandro & Lenny Tavarez,2024-06-20,64,590
